,Year_Birth,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Customer_Age,Education_Basic,Education_Graduation,Education_Master,Education_PhD,Marital_Status_Married,Marital_Status_Single,Marital_Status_Together,Marital_Status_Widow
0,-1.0167485888240406,0.31529764552061723,-0.8246612216582524,-0.930656910874718,0.3095917737628942,0.9739190096251493,1.549880894702799,1.7481188539655046,2.4600691922134303,1.4791039963621653,0.8555233158756641,0.3626724192148498,1.4250200756279052,2.63214757858757,-0.5619183747538008,0.6893216216391636,0,0,0,0,0,0,1,1.5288569692175629,0,1,0,0,0,1,0,0
1,-1.2731784781332758,-0.25400772563462315,1.0369586233364283,0.9064514844932231,-0.3820210088325185,-0.8738628459087333,-0.6380672849730796,-0.7313719829167268,-0.652429335708241,-0.6355408512258943,-0.7357391188984521,-0.16772093273989075,-1.1317848976106109,-0.5875764787324977,-1.1784599215300298,-0.14020100779101655,0,0,0,0,0,0,0,-1.187736091901774,0,1,0,0,0,1,0,0
2,-0.3329355506660803,0.9657461681861136,-0.8246612216582524,-0.930656910874718,-0.7969886783897662,0.3550305355761405,0.5690765382963706,-0.17578236946718975,1.3432314851356542,-0.14941559890680017,-0.0371360987537182,-0.6981142846946313,1.4250200756279052,-0.22982936125249015,1.287706265574886,-0.5549623225061066,0,0,0,0,0,0,0,-0.20482332978768672,0,1,0,0,0,0,1,0
3,1.2911204149590756,-1.2048452024038214,1.0369586233364283,-0.930656910874718,-0.7969886783897662,-0.8738628459087333,-0.5626207960187389,-0.6670888871457059,-0.5059588167472212,-0.5869283259939849,-0.755144758346917,-0.16772093273989075,-0.7665270442908229,-0.9453235962125053,-0.5619183747538008,0.2745603069240735,0,0,0,0,0,0,0,-1.0593153290124964,0,1,0,0,0,0,1,0
4,1.0346905256498404,0.3227796136848586,1.0369586233364283,-0.930656910874718,1.5544947824346371,-0.39415024879897537,0.41818356038768933,-0.2171072167485603,0.15315851857736806,-0.0035780232110719412,-0.5610883638622687,1.423459123124331,0.3292465156685412,0.12791775622751742,0.05462317202242822,-0.14020100779101655,0,0,0,0,0,0,0,-0.9506516065677229,0,0,0,1,1,0,0,0
5,-0.16198229112659027,0.5264822308016225,-0.8246612216582524,0.9064514844932231,-1.1427950696874725,0.633382289454642,0.39303473073624245,-0.30894021070716143,-0.689046965448496,0.3610159160282487,-0.5804940033107335,-0.16772093273989075,0.6945043689883291,0.485664873707525,1.287706265574886,0.2745603069240735,0,0,0,0,0,0,0,-0.298669271899082,0,0,1,0,0,0,1,0
6,0.17992422795238994,0.19447592735870722,-0.8246612216582524,0.9064514844932231,-0.5203435653516011,-0.21055653879400624,0.9714578127195208,-0.005891330643777614,0.22639377805787797,0.5311597543399316,-0.3282206904806907,0.8930657711695903,1.0597622223081171,0.12791775622751742,0.3628939454105427,0.2745603069240735,0,0,0,0,0,0,0,1.183108761438738,0,1,0,0,0,0,0,0
7,1.3765970447288205,-0.8762178523254023,1.0369586233364283,-0.930656910874718,-0.5895048436111423,-0.6813855692906206,-0.4117278181100577,-0.5017894980202239,-0.6341205208381135,-0.6355408512258943,-0.40584324827455,-0.16772093273989075,-0.03601133765124682,-0.9453235962125053,-0.5619183747538008,1.1040829363542537,0,0,0,0,0,0,0,0.31379898188055033,0,0,0,1,1,0,0,0
8,0.4363541172616251,-1.0260020278972788,1.0369586233364283,-0.930656910874718,-1.0390531522981605,-0.8649792792955897,-0.6632161146245265,-0.6487222883539857,-0.6341205208381135,-0.5869283259939849,-0.8133616766923115,-0.6981142846946313,-0.4012691909710348,-0.9453235962125053,-1.1784599215300298,1.5188442510693436,0,0,0,0,0,0,1,0.17056043865789436,0,0,0,1,0,0,1,0
9,-1.615084997212256,-2.218434670227947,1.0369586233364283,0.9064514844932231,0.6553981650606006,-0.8235226351009193,-0.6632161146245265,-0.7313719829167268,-0.6707381505783685,-0.6355408512258943,-0.5998996427591984,-0.6981142846946313,-1.1317848976106109,-0.9453235962125053,-1.7950014683062587,6.081218712935335,1,0,0,0,0,0,0,-1.2124323924574043,0,0,0,1,0,0,1,0
